URL,Yanıt Kodu,Haberlerle İlgili Hatalar,Tespit edilme tarihi,Kategori,Platform,Son tarama
https://m.emlakjet.com/konut/,404,,28.09.2018,Bulunamadı,Masaüstü,28.09.2018
https://m.emlakjet.com/satilik-fabrika/izmir-kiraz/,404,,22.09.2018,Bulunamadı,Masaüstü,22.09.2018
https://m.emlakjet.com/haber/haber/cesme-ve-alacati-tatili-40-liradan-baslayan-fiyatlarla-1,404,,12.08.2018,Bulunamadı,Masaüstü,01.10.2018
https://m.emlakjet.com/satilik-daire/kktcgirne-asagi-girne-mahallesi?deleted=true,404,,20.09.2018,Bulunamadı,Masaüstü,30.09.2018
